"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
838,15,"AUS","Australia",7,"Queensland",838,"Upper Mount Gravatt","Unknown","Unknown",NA,NA
839,15,"AUS","Australia",7,"Queensland",839,"Varsity Lakes","Unknown","Unknown",NA,NA
840,15,"AUS","Australia",7,"Queensland",840,"Victoria Point","Unknown","Unknown",NA,NA
841,15,"AUS","Australia",7,"Queensland",841,"Vincent","Unknown","Unknown",NA,NA
842,15,"AUS","Australia",7,"Queensland",842,"Virginia","Unknown","Unknown",NA,NA
843,15,"AUS","Australia",7,"Queensland",843,"Wacol","Unknown","Unknown",NA,NA
844,15,"AUS","Australia",7,"Queensland",844,"Waggamba","Shire","Shire",NA,NA
845,15,"AUS","Australia",7,"Queensland",845,"Wakerley","Unknown","Unknown",NA,NA
846,15,"AUS","Australia",7,"Queensland",846,"Wambo","Shire","Shire",NA,NA
847,15,"AUS","Australia",7,"Queensland",847,"Warraber","Unknown","Unknown",NA,NA
848,15,"AUS","Australia",7,"Queensland",848,"Warroo","Shire","Shire",NA,NA
849,15,"AUS","Australia",7,"Queensland",849,"Warwick - Central","Shire","Shire",NA,NA
850,15,"AUS","Australia",7,"Queensland",850,"Warwick - East","Shire","Shire",NA,NA
851,15,"AUS","Australia",7,"Queensland",851,"Warwick - North","Shire","Shire",NA,NA
852,15,"AUS","Australia",7,"Queensland",852,"Warwick - West","Shire","Shire",NA,NA
853,15,"AUS","Australia",7,"Queensland",853,"Waterford West","Unknown","Unknown",NA,NA
854,15,"AUS","Australia",7,"Queensland",854,"Wavell Heights","Unknown","Unknown",NA,NA
855,15,"AUS","Australia",7,"Queensland",855,"Weipa","Town","Town",NA,NA
856,15,"AUS","Australia",7,"Queensland",856,"Wellington Point","Unknown","Unknown",NA,NA
857,15,"AUS","Australia",7,"Queensland",857,"West End","Unknown","Unknown",NA,NA
858,15,"AUS","Australia",7,"Queensland",858,"Westlake","Unknown","Unknown",NA,NA
859,15,"AUS","Australia",7,"Queensland",859,"Whitsunday","Shire","Shire",NA,NA
860,15,"AUS","Australia",7,"Queensland",860,"Willawong","Unknown","Unknown",NA,NA
861,15,"AUS","Australia",7,"Queensland",861,"Wilston","Unknown","Unknown",NA,NA
862,15,"AUS","Australia",7,"Queensland",862,"Windsor","Unknown","Unknown",NA,NA
863,15,"AUS","Australia",7,"Queensland",863,"Winton","Shire","Shire",NA,NA
864,15,"AUS","Australia",7,"Queensland",864,"Wishart","Unknown","Unknown",NA,NA
865,15,"AUS","Australia",7,"Queensland",865,"Wolffdene-Bahrs Scrub","Unknown","Unknown",NA,NA
866,15,"AUS","Australia",7,"Queensland",866,"Wondai","Shire","Shire",NA,NA
867,15,"AUS","Australia",7,"Queensland",867,"Woocoo","Shire","Shire",NA,NA
868,15,"AUS","Australia",7,"Queensland",868,"Woodridge","Unknown","Unknown",NA,NA
869,15,"AUS","Australia",7,"Queensland",869,"Woolloongabba","Unknown","Unknown",NA,NA
870,15,"AUS","Australia",7,"Queensland",870,"Wooloowin","Unknown","Unknown",NA,NA
871,15,"AUS","Australia",7,"Queensland",871,"Woorabinda","Aboriginal Council","Aboriginal Council",NA,NA
872,15,"AUS","Australia",7,"Queensland",872,"Worongary-Tallai","Unknown","Unknown",NA,NA
873,15,"AUS","Australia",7,"Queensland",873,"Wujal Wujal","Community Government Council","Community Government Council",NA,NA
874,15,"AUS","Australia",7,"Queensland",874,"Wulguru","Unknown","Unknown",NA,NA
875,15,"AUS","Australia",7,"Queensland",875,"Wynnum West","Unknown","Unknown",NA,NA
876,15,"AUS","Australia",7,"Queensland",876,"Wynnum","Unknown","Unknown",NA,NA
877,15,"AUS","Australia",7,"Queensland",877,"Yarrabah","Community Government Council","Community Government Council",NA,NA
878,15,"AUS","Australia",7,"Queensland",878,"Yeerongpilly","Unknown","Unknown",NA,NA
879,15,"AUS","Australia",7,"Queensland",879,"Yeronga","Unknown","Unknown",NA,NA
880,15,"AUS","Australia",7,"Queensland",880,"Yorke","Unknown","Unknown",NA,NA
881,15,"AUS","Australia",7,"Queensland",881,"Zillmere","Unknown","Unknown",NA,NA
882,15,"AUS","Australia",8,"South Australia",882,"Adelaide Hills-Bal","District Council","District Council",NA,NA
883,15,"AUS","Australia",8,"South Australia",883,"Adelaide Hills --Central","District Council","District Council",NA,NA
884,15,"AUS","Australia",8,"South Australia",884,"Adelaide Hills - North","District Council","District Council",NA,NA
885,15,"AUS","Australia",8,"South Australia",885,"Adelaide Hills -Ranges","District Council","District Council",NA,NA
886,15,"AUS","Australia",8,"South Australia",886,"Adelaide","City","City",NA,NA
887,15,"AUS","Australia",8,"South Australia",887,"Alexandrina- Strathalbyn","District Council","District Council",NA,NA
888,15,"AUS","Australia",8,"South Australia",888,"Alexandrina - Coastal","District Council","District Council",NA,NA
889,15,"AUS","Australia",8,"South Australia",889,"Anangu Pitjantjatjara","Aboriginal Council","Aboriginal Council",NA,NA
890,15,"AUS","Australia",8,"South Australia",890,"Barossa  - Angaston","District Council","District Council",NA,NA
891,15,"AUS","Australia",8,"South Australia",891,"Barossa  - Barossa","District Council","District Council",NA,NA
892,15,"AUS","Australia",8,"South Australia",892,"Barossa  - Tanunda","District Council","District Council",NA,NA
893,15,"AUS","Australia",8,"South Australia",893,"Barunga West","District Council","District Council",NA,NA
894,15,"AUS","Australia",8,"South Australia",894,"Berri & Barmera  - Barmera","District Council","District Council",NA,NA
895,15,"AUS","Australia",8,"South Australia",895,"Berri & Barmera  - Berri","District Council","District Council",NA,NA
896,15,"AUS","Australia",8,"South Australia",896,"Burnside - North-East","City","City",NA,NA
897,15,"AUS","Australia",8,"South Australia",897,"Burnside  - South-West","City","City",NA,NA
898,15,"AUS","Australia",8,"South Australia",898,"Campbelltown - East","City","City",NA,NA
899,15,"AUS","Australia",8,"South Australia",899,"Campbelltown - West","City","City",NA,NA
900,15,"AUS","Australia",8,"South Australia",900,"Ceduna","District Council","District Council",NA,NA
901,15,"AUS","Australia",8,"South Australia",901,"Charles Sturt - Coastal","City","City",NA,NA
902,15,"AUS","Australia",8,"South Australia",902,"Charles Sturt - Inner East","City","City",NA,NA
903,15,"AUS","Australia",8,"South Australia",903,"Charles Sturt - Inner West","City","City",NA,NA
904,15,"AUS","Australia",8,"South Australia",904,"Charles Sturt - North-East","City","City",NA,NA
905,15,"AUS","Australia",8,"South Australia",905,"Clare and Gilbert Valleys","District Council","District Council",NA,NA
906,15,"AUS","Australia",8,"South Australia",906,"Cleve","District Council","District Council",NA,NA
907,15,"AUS","Australia",8,"South Australia",907,"Coober Pedy","District Council","District Council",NA,NA
908,15,"AUS","Australia",8,"South Australia",908,"Copper Coast","District Council","District Council",NA,NA
909,15,"AUS","Australia",8,"South Australia",909,"Elliston","District Council","District Council",NA,NA
910,15,"AUS","Australia",8,"South Australia",910,"Flinders Ranges","District Council","District Council",NA,NA
911,15,"AUS","Australia",8,"South Australia",911,"Franklin Harbour","District Council","District Council",NA,NA
912,15,"AUS","Australia",8,"South Australia",912,"Gawler","Town","Town",NA,NA
913,15,"AUS","Australia",8,"South Australia",913,"Goyder","Rural City","Rural City",NA,NA
914,15,"AUS","Australia",8,"South Australia",914,"Grant","District Council","District Council",NA,NA
915,15,"AUS","Australia",8,"South Australia",915,"Holdfast Bay - North","City","City",NA,NA
916,15,"AUS","Australia",8,"South Australia",916,"Holdfast Bay - South","City","City",NA,NA
917,15,"AUS","Australia",8,"South Australia",917,"Kangaroo Island","District Council","District Council",NA,NA
918,15,"AUS","Australia",8,"South Australia",918,"Karoonda East Murray","District Council","District Council",NA,NA
919,15,"AUS","Australia",8,"South Australia",919,"Kimba","District Council","District Council",NA,NA
920,15,"AUS","Australia",8,"South Australia",920,"Kingston","District Council","District Council",NA,NA
921,15,"AUS","Australia",8,"South Australia",921,"Le Hunte","District Council","District Council",NA,NA
922,15,"AUS","Australia",8,"South Australia",922,"Light","Rural City","Rural City",NA,NA
923,15,"AUS","Australia",8,"South Australia",923,"Lower Eyre Peninsula","District Council","District Council",NA,NA
924,15,"AUS","Australia",8,"South Australia",924,"Loxton Waikerie - West","District Council","District Council",NA,NA
925,15,"AUS","Australia",8,"South Australia",925,"Loxton Waikerie  - East","District Council","District Council",NA,NA
926,15,"AUS","Australia",8,"South Australia",926,"Mallala","District Council","District Council",NA,NA
927,15,"AUS","Australia",8,"South Australia",927,"Maralinga Tjarutja","Aboriginal Council","Aboriginal Council",NA,NA
928,15,"AUS","Australia",8,"South Australia",928,"Marion - Central","City","City",NA,NA
929,15,"AUS","Australia",8,"South Australia",929,"Marion - North","City","City",NA,NA
930,15,"AUS","Australia",8,"South Australia",930,"Marion - South","City","City",NA,NA
931,15,"AUS","Australia",8,"South Australia",931,"Mid Murray","District Council","District Council",NA,NA
932,15,"AUS","Australia",8,"South Australia",932,"Mitcham - Hills","City","City",NA,NA
933,15,"AUS","Australia",8,"South Australia",933,"Mitcham - North-East","City","City",NA,NA
934,15,"AUS","Australia",8,"South Australia",934,"Mitcham  - West","City","City",NA,NA
935,15,"AUS","Australia",8,"South Australia",935,"Mount Barker  - Central","District Council","District Council",NA,NA
936,15,"AUS","Australia",8,"South Australia",936,"Mount Barker Bal","District Council","District Council",NA,NA
937,15,"AUS","Australia",8,"South Australia",937,"Mount Gambier","City","City",NA,NA
938,15,"AUS","Australia",8,"South Australia",938,"Mount Remarkable (DC)","District Council","District Council",NA,NA
939,15,"AUS","Australia",8,"South Australia",939,"Murray Bridge","Rural City","Rural City",NA,NA
940,15,"AUS","Australia",8,"South Australia",940,"Naracoorte Lucindale","District Council","District Council",NA,NA
941,15,"AUS","Australia",8,"South Australia",941,"Northern Areas","District Council","District Council",NA,NA
942,15,"AUS","Australia",8,"South Australia",942,"Norw. P'ham St Ptrs  - East","City","City",NA,NA
943,15,"AUS","Australia",8,"South Australia",943,"Norw. P'ham St Ptrs  - West","City","City",NA,NA
944,15,"AUS","Australia",8,"South Australia",944,"Onkaparinga - Hackham","City","City",NA,NA
945,15,"AUS","Australia",8,"South Australia",945,"Onkaparinga - Hills","City","City",NA,NA
946,15,"AUS","Australia",8,"South Australia",946,"Onkaparinga - Morphett","City","City",NA,NA
947,15,"AUS","Australia",8,"South Australia",947,"Onkaparinga - North Coast","City","City",NA,NA
948,15,"AUS","Australia",8,"South Australia",948,"Onkaparinga - Reservoir","City","City",NA,NA
949,15,"AUS","Australia",8,"South Australia",949,"Onkaparinga - South Coast","City","City",NA,NA
950,15,"AUS","Australia",8,"South Australia",950,"Onkaparinga - Woodcroft","City","City",NA,NA
951,15,"AUS","Australia",8,"South Australia",951,"Orroroo/Carrieton","District Council","District Council",NA,NA
952,15,"AUS","Australia",8,"South Australia",952,"Peterborough","District Council","District Council",NA,NA
953,15,"AUS","Australia",8,"South Australia",953,"Playford - East Central","City","City",NA,NA
954,15,"AUS","Australia",8,"South Australia",954,"Playford - Elizabeth","City","City",NA,NA
955,15,"AUS","Australia",8,"South Australia",955,"Playford - Hills","City","City",NA,NA
956,15,"AUS","Australia",8,"South Australia",956,"Playford - West Central","City","City",NA,NA
957,15,"AUS","Australia",8,"South Australia",957,"Playford - West","City","City",NA,NA
958,15,"AUS","Australia",8,"South Australia",958,"Port Adel. Enfield - Coast","City","City",NA,NA
959,15,"AUS","Australia",8,"South Australia",959,"Port Adel. Enfield - East","City","City",NA,NA
960,15,"AUS","Australia",8,"South Australia",960,"Port Adel. Enfield - Inner","City","City",NA,NA
961,15,"AUS","Australia",8,"South Australia",961,"Port Adel. Enfield - Park","City","City",NA,NA
962,15,"AUS","Australia",8,"South Australia",962,"Port Adel. Enfield - Port","City","City",NA,NA
963,15,"AUS","Australia",8,"South Australia",963,"Port Augusta","City","City",NA,NA
964,15,"AUS","Australia",8,"South Australia",964,"Port Lincoln","City","City",NA,NA
965,15,"AUS","Australia",8,"South Australia",965,"Port Pirie C Dists - City","Municipality / Mun. Council","Municipality / Mun. Council",NA,NA
966,15,"AUS","Australia",8,"South Australia",966,"Port Pirie C Dists Bal","Municipality / Mun. Council","Municipality / Mun. Council",NA,NA
967,15,"AUS","Australia",8,"South Australia",967,"Prospect","City","City",NA,NA
968,15,"AUS","Australia",8,"South Australia",968,"Renmark Paringa - Paringa","District Council","District Council",NA,NA
969,15,"AUS","Australia",8,"South Australia",969,"Renmark Paringa - Renmark","District Council","District Council",NA,NA
970,15,"AUS","Australia",8,"South Australia",970,"Robe","District Council","District Council",NA,NA
971,15,"AUS","Australia",8,"South Australia",971,"Roxby Downs","Municipality/Municipal Council","Municipality/Municipal Council",NA,NA
972,15,"AUS","Australia",8,"South Australia",972,"Salisbury - Central","City","City",NA,NA
973,15,"AUS","Australia",8,"South Australia",973,"Salisbury - Inner North","City","City",NA,NA
974,15,"AUS","Australia",8,"South Australia",974,"Salisbury - North-East","City","City",NA,NA
975,15,"AUS","Australia",8,"South Australia",975,"Salisbury - South-East","City","City",NA,NA
976,15,"AUS","Australia",8,"South Australia",976,"Salisbury Bal","City","City",NA,NA
977,15,"AUS","Australia",8,"South Australia",977,"Southern Mallee","District Council","District Council",NA,NA
978,15,"AUS","Australia",8,"South Australia",978,"Streaky Bay","District Council","District Council",NA,NA
979,15,"AUS","Australia",8,"South Australia",979,"Tatiara","District Council","District Council",NA,NA
980,15,"AUS","Australia",8,"South Australia",980,"Tea Tree Gully - Central","City","City",NA,NA
981,15,"AUS","Australia",8,"South Australia",981,"Tea Tree Gully - North","City","City",NA,NA
982,15,"AUS","Australia",8,"South Australia",982,"Tea Tree Gully - South","City","City",NA,NA
983,15,"AUS","Australia",8,"South Australia",983,"Tea Tree Gully  - Hills","City","City",NA,NA
984,15,"AUS","Australia",8,"South Australia",984,"The Coorong","District Council","District Council",NA,NA
985,15,"AUS","Australia",8,"South Australia",985,"Tumby Bay","District Council","District Council",NA,NA
986,15,"AUS","Australia",8,"South Australia",986,"Unincorp. Far North","Unknown","Unknown",NA,NA
987,15,"AUS","Australia",8,"South Australia",987,"Unincorp. Flinders Ranges","Unknown","Unknown",NA,NA
988,15,"AUS","Australia",8,"South Australia",988,"Unincorp. Lincoln","Unknown","Unknown",NA,NA
989,15,"AUS","Australia",8,"South Australia",989,"Unincorp. Murray Mallee","Unknown","Unknown",NA,NA
990,15,"AUS","Australia",8,"South Australia",990,"Unincorp. Pirie","Unknown","Unknown",NA,NA
991,15,"AUS","Australia",8,"South Australia",991,"Unincorp. Riverland","Unknown","Unknown",NA,NA
992,15,"AUS","Australia",8,"South Australia",992,"Unincorp. West Coast","Unknown","Unknown",NA,NA
993,15,"AUS","Australia",8,"South Australia",993,"Unincorp. Western","Unknown","Unknown",NA,NA
994,15,"AUS","Australia",8,"South Australia",994,"Unincorp. Whyalla","Unknown","Unknown",NA,NA
995,15,"AUS","Australia",8,"South Australia",995,"Unincorp. Yorke","Unknown","Unknown",NA,NA
996,15,"AUS","Australia",8,"South Australia",996,"Unley - East","City","City",NA,NA
997,15,"AUS","Australia",8,"South Australia",997,"Unley - West","City","City",NA,NA
998,15,"AUS","Australia",8,"South Australia",998,"Victor Harbor","District Council","District Council",NA,NA
